year,day,hhour,T_air,T_air_K,rglobal,parin,eair,eair_Pa,P_kPa,P_Pa,vpd,vpd_Pa,wind,CO2,ustar,Tsoil,soilmoisture,zcanopy,lai
2012.0,32.0,0.0,7.078,280.228,0.0,0.0,0.27620986,276.20987,86.73,86730.0,0.731111,731.11096,1.805,385.61,0.1,13.38,0.02,1.0,0.175
2012.0,32.0,0.5,5.287,278.43698,0.0,0.0,0.27847764,278.47763,86.741,86741.0,0.6116964,611.6964,3.027,385.627,0.1246,13.25,0.01898,1.0,0.17552084
2012.0,32.0,1.0,4.974,278.124,0.0,0.0,0.28343758,283.4376,86.754,86754.0,0.5875514,587.5514,2.764,385.167,0.1,13.25,0.01859,1.0,0.17604166
2012.0,32.0,1.5,5.67,278.82,0.0,0.0,0.28425437,284.25436,86.75,86750.0,0.62990737,629.90735,3.272,385.104,0.1,13.25,0.01888,1.0,0.1765625
2012.0,32.0,2.0,6.37,279.52,0.0,0.0,0.28481868,284.81866,86.739,86739.0,0.6746609,674.66095,2.989,385.032,0.1,13.38,0.01918,1.0,0.17708333
2012.0,32.0,2.5,5.314,278.464,0.0,0.0,0.28467345,284.67346,86.737,86737.0,0.60717463,607.1746,2.286,385.465,0.1,13.25,0.01891,1.0,0.17760417
2012.0,32.0,3.0,5.806,278.956,0.0,0.0,0.28413224,284.13223,86.728,86728.0,0.63868374,638.6837,2.613,384.947,0.1,13.68,0.0189,1.0,0.178125
2012.0,32.0,3.5,5.2,278.35,0.0,0.0,0.28751552,287.51553,86.72,86720.0,0.5972892,597.2892,2.309,385.388,0.1193,13.25,0.01884,1.0,0.17864583
2012.0,32.0,4.0,3.249,276.399,0.0,0.0,0.29730654,297.30655,86.742,86742.0,0.47434703,474.34702,2.56,385.189,0.1,12.11,0.01786,1.0,0.17916666
2012.0,32.0,4.5,3.303,276.453,0.0,0.0,0.30731726,307.31726,86.744,86744.0,0.46728697,467.287,2.616,385.786,0.1076,12.222,0.01773,1.0,0.1796875
2012.0,32.0,5.0,4.694,277.844,0.0,0.0,0.31073293,310.73294,86.731,86731.0,0.54339993,543.3999,3.425,385.302,0.1,13.133,0.01851,1.0,0.18020834
2012.0,32.0,5.5,5.313,278.46298,0.0,0.0,0.31089056,310.89056,86.716,86716.0,0.5808946,580.8946,3.28,385.901,0.1,13.786,0.0189,1.0,0.18072917
2012.0,32.0,6.0,3.528,276.678,0.0,0.0,0.31739208,317.3921,86.724,86724.0,0.4696145,469.6145,2.318,386.173,0.1,13.8,0.01779,1.0,0.18125
2012.0,32.0,6.5,3.955,277.10498,0.0,0.0,0.31939992,319.39993,86.756,86756.0,0.49162626,491.62625,3.28,385.823,0.1,13.667,0.01798,1.0,0.18177083
2012.0,32.0,7.0,3.458,276.608,0.0,0.0,0.33072293,330.72293,86.763,86763.0,0.45240694,452.40695,2.832,386.544,0.1,13.433,0.01786,1.0,0.18229167
2012.0,32.0,7.5,2.782,275.932,5.053,11.6219,0.33796996,337.96997,86.773,86773.0,0.40857837,408.57837,3.229,386.854,0.1,13.3,0.01812,1.0,0.1828125
2012.0,32.0,8.0,4.026,277.176,73.88,169.924,0.33419237,334.19235,86.775,86775.0,0.4808906,480.8906,2.727,386.145,0.2017,11.2,0.01889,1.0,0.18333334
2012.0,32.0,8.5,6.358,279.508,179.0,411.69998,0.33356416,333.56415,86.77,86770.0,0.62512153,625.1215,2.239,386.121,0.1924,15.044,0.02167,1.0,0.18385416
2012.0,32.0,9.0,9.46,282.61,286.8,659.63995,0.34213156,342.13156,86.754,86754.0,0.8419582,841.95825,2.289,386.519,0.2106,12.3,0.02222,1.0,0.184375
2012.0,32.0,9.5,12.41,285.56,393.8,905.7399,0.32021362,320.21362,86.724,86724.0,1.120276,1120.276,3.795,386.133,0.3006,12.1,0.024,1.0,0.18489583
2012.0,32.0,10.0,13.63,286.78,490.0,1127.0,0.31362385,313.62384,86.724,86724.0,1.2464143,1246.4143,4.763,386.051,0.4198,13.1,0.02857,1.0,0.18541667
2012.0,32.0,10.5,14.11,287.25998,575.0,1322.5,0.30950317,309.50317,86.716,86716.0,1.2999057,1299.9056,5.237,385.812,0.3454,17.65,0.02909,1.0,0.1859375
2012.0,32.0,11.0,14.74,287.88998,645.7,1485.11,0.30220598,302.206,86.696,86696.0,1.3740808,1374.0808,6.091,385.793,0.3899,12.35,0.03148,1.0,0.18645833
2012.0,32.0,11.5,15.52,288.66998,700.6,1611.3799,0.2930282,293.0282,86.673,86673.0,1.4694276,1469.4276,6.103,385.956,0.4478,12.667,0.03267,1.0,0.18697916
2012.0,32.0,12.0,15.89,289.04,736.6,1694.1799,0.29993203,299.93204,86.647,86647.0,1.5047494,1504.7494,5.924,386.123,0.41,13.0,0.0331,1.0,0.1875
2012.0,32.0,12.5,16.34,289.49,759.8,1747.5399,0.29425165,294.25165,86.593,86593.0,1.5629636,1562.9636,5.774,386.273,0.4547,13.3,0.03303,1.0,0.18802084
2012.0,32.0,13.0,16.66,289.81,758.8,1745.24,0.2922992,292.29922,86.541,86541.0,1.6030893,1603.0894,5.127,386.388,0.3975,13.475,0.03303,1.0,0.18854167
2012.0,32.0,13.5,17.27,290.41998,743.4,1709.8201,0.28982762,289.8276,86.476,86476.0,1.680234,1680.234,4.813,386.439,0.3927,12.1,0.03366,1.0,0.1890625
2012.0,32.0,14.0,17.92,291.07,716.4,1647.72,0.2680532,268.0532,86.433,86433.0,1.7844096,1784.4097,3.272,386.609,0.3597,12.05,0.03429,1.0,0.18958333
2012.0,32.0,14.5,18.21,291.36,643.4,1479.8201,0.22935207,229.35207,86.397,86397.0,1.8608352,1860.8352,2.609,386.303,0.1569,11.95,0.03316,1.0,0.19010417
2012.0,32.0,15.0,18.08,291.22998,455.0,1046.5,0.25826082,258.2608,86.364,86364.0,1.8149368,1814.9368,2.826,385.99,0.2813,12.0,0.03071,1.0,0.190625
2012.0,32.0,15.5,18.69,291.84,478.8,1101.24,0.22851358,228.51358,86.33,86330.0,1.9254501,1925.4501,3.282,386.006,0.278,12.0,0.031,1.0,0.19114584
2012.0,32.0,16.0,18.82,291.97,384.9,885.26996,0.22309583,223.09584,86.302,86302.0,1.9484324,1948.4325,3.443,385.95,0.2531,15.06,0.03,1.0,0.19166666
2012.0,32.0,16.5,18.56,291.71,236.6,544.18,0.23366058,233.66058,86.284,86284.0,1.9028602,1902.8601,2.592,385.711,0.1433,16.25,0.028,1.0,0.1921875
2012.0,32.0,17.0,18.27,291.41998,118.6,272.78,0.24498719,244.98718,86.271,86271.0,1.8530806,1853.0807,1.78,385.547,0.1234,19.05,0.02778,1.0,0.19270833
2012.0,32.0,17.5,17.89,291.03998,67.96,156.308,0.250979,250.979,86.26,86260.0,1.7976158,1797.6157,1.842,385.341,0.1004,19.1,0.0275,1.0,0.19322917
2012.0,32.0,18.0,17.02,290.16998,8.8,20.24,0.23404644,234.04645,86.271,86271.0,1.7051096,1705.1096,2.416,385.2,0.1508,17.821,0.02688,1.0,0.19375
2012.0,32.0,18.5,15.62,288.77,0.0,0.0,0.22254463,222.54463,86.291,86291.0,1.5512422,1551.2422,2.584,385.087,0.1857,17.37,0.025,1.0,0.19427083
2012.0,32.0,19.0,14.96,288.11,0.0,0.0,0.24383368,243.83368,86.321,86321.0,1.4563745,1456.3745,1.71,385.256,0.1361,17.062,0.02425,1.0,0.19479166
2012.0,32.0,19.5,14.34,287.49,0.0,0.0,0.23045428,230.45428,86.327,86327.0,1.4030927,1403.0928,1.689,384.957,0.2334,16.569,0.02356,1.0,0.1953125
2012.0,32.0,20.0,13.57,286.72,0.0,0.0,0.21807681,218.07681,86.343,86343.0,1.3358853,1335.8853,1.545,385.162,0.1136,16.207,0.02203,1.0,0.19583334
2012.0,32.0,20.5,13.44,286.59,0.0,0.0,0.21242695,212.42694,86.324,86324.0,1.3284397,1328.4397,2.259,384.735,0.2231,16.207,0.02169,1.0,0.19635417
2012.0,32.0,21.0,13.56,286.71,0.0,0.0,0.22679728,226.79729,86.3,86300.0,1.3261515,1326.1515,2.68,384.382,0.1487,16.671,0.02203,1.0,0.196875
2012.0,32.0,21.5,13.29,286.44,0.0,0.0,0.23385252,233.85252,86.29,86290.0,1.2920251,1292.0251,1.402,385.051,0.1,16.625,0.02164,1.0,0.19739583
2012.0,32.0,22.0,10.29,283.44,0.0,0.0,0.24478398,244.78398,86.246,86246.0,1.0070287,1007.02875,1.715,385.309,0.1056,15.771,0.01921,1.0,0.19791667
2012.0,32.0,22.5,10.97,284.12,0.0,0.0,0.24129683,241.29683,86.241,86241.0,1.0685115,1068.5115,0.978,385.126,0.1666,15.686,0.01983,1.0,0.1984375
2012.0,32.0,23.0,9.03,282.18,0.0,0.0,0.2463215,246.3215,86.217,86217.0,0.9039718,903.9718,2.725,384.266,0.2009,14.762,0.01923,1.0,0.19895834
2012.0,32.0,23.5,10.3,283.44998,0.0,0.0,0.24296078,242.96078,86.224,86224.0,1.0096855,1009.68555,2.153,385.111,0.2763,15.771,0.01921,1.0,0.19947916
2012.0,33.0,0.0,10.39,283.54,0.0,0.0,0.2448685,244.8685,86.236,86236.0,1.015329,1015.329,3.283,384.868,0.1,15.95,0.01926,1.0,0.2
2012.0,33.0,0.5,10.16,283.31,0.0,0.0,0.2457186,245.7186,86.241,86241.0,0.9952679,995.26794,2.91,384.831,0.1189,15.913,0.01923,1.0,0.19947916
2012.0,33.0,1.0,10.64,283.79,0.0,0.0,0.24416327,244.16327,86.237,86237.0,1.0372131,1037.2131,1.746,385.071,0.1319,16.125,0.01,1.0,0.19895834
2012.0,33.0,1.5,7.495,280.645,0.0,0.0,0.25174713,251.74713,86.225,86225.0,0.78472275,784.7227,1.794,385.611,0.1,14.66,0.02,1.0,0.1984375
2012.0,33.0,2.0,8.11,281.25998,0.0,0.0,0.2483916,248.3916,86.222,86222.0,0.8324297,832.4297,1.361,384.707,0.2042,15.1,0.02,1.0,0.19791667
2012.0,33.0,2.5,8.19,281.34,0.0,0.0,0.24677283,246.77283,86.221,86221.0,0.8399396,839.9396,1.601,384.545,0.112,15.158,0.02,1.0,0.19739583
2012.0,33.0,3.0,9.01,282.16,0.0,0.0,0.24552321,245.52321,86.2,86200.0,0.9032201,903.2201,0.75,385.007,0.1261,15.282,0.02,1.0,0.196875
2012.0,33.0,3.5,8.42,281.57,0.0,0.0,0.24606013,246.06013,86.196,86196.0,0.85774666,857.74664,0.75,384.696,0.1022,15.173,0.01,1.0,0.19635417
2012.0,33.0,4.0,8.41,281.56,0.0,0.0,0.24514243,245.14243,86.172,86172.0,0.85791516,857.91516,1.124,385.147,0.1,15.178,0.01,1.0,0.19583334
2012.0,33.0,4.5,7.942,281.09198,0.0,0.0,0.241114,241.114,86.161,86161.0,0.82742906,827.4291,0.75,385.2,0.1528,15.2,0.02,1.0,0.1953125
2012.0,33.0,5.0,7.831,280.981,0.0,0.0,0.2347976,234.79759,86.142,86142.0,0.82570106,825.70105,0.75,385.424,0.1,15.179,0.01,1.0,0.19479166
2012.0,33.0,5.5,7.017,280.167,0.0,0.0,0.23348732,233.48732,86.136,86136.0,0.7696289,769.6289,1.92,385.583,0.1,14.616,0.02,1.0,0.19427083
2012.0,33.0,6.0,6.641,279.791,0.0,0.0,0.22827636,228.27635,86.119,86119.0,0.749273,749.273,2.182,385.096,0.1002,14.484,0.02,1.0,0.19375
2012.0,33.0,6.5,6.886,280.03598,0.0,0.0,0.21864983,218.64984,86.1,86100.0,0.77549136,775.49133,1.075,385.289,0.2432,14.58,0.02,1.0,0.19322917
2012.0,33.0,7.0,6.393,279.543,0.0,0.0,0.22369286,223.69287,86.097,86097.0,0.7373069,737.3069,3.518,385.003,0.1,14.395,0.01,1.0,0.19270833
2012.0,33.0,7.5,7.05,280.19998,5.198,11.9553995,0.21929121,219.29121,86.113,86113.0,0.78609484,786.09485,1.905,385.229,0.1,14.495,0.02,1.0,0.1921875
2012.0,33.0,8.0,7.838,280.988,75.19,172.937,0.21691109,216.91109,86.116,86116.0,0.8440974,844.09735,0.972,386.042,0.1188,12.9,0.02,1.0,0.19166666
2012.0,33.0,8.5,8.54,281.69,179.3,412.38998,0.22419845,224.19844,86.115,86115.0,0.8886222,888.62225,0.842,386.465,0.1,13.68,0.02,1.0,0.19114584
2012.0,33.0,9.0,8.79,281.94,289.7,666.31,0.23427945,234.27945,86.111,86111.0,0.89752394,897.5239,1.169,387.015,0.1184,12.433,0.02,1.0,0.190625
2012.0,33.0,9.5,10.18,283.33,397.6,914.48,0.22246942,222.46942,86.091,86091.0,1.0201751,1020.1751,2.215,386.527,0.143,13.925,0.02,1.0,0.19010417
2012.0,33.0,10.0,11.44,284.59,497.7,1144.71,0.21280666,212.80666,86.07,86070.0,1.1384583,1138.4583,4.76,385.826,0.4166,14.1,0.02,1.0,0.18958333
2012.0,33.0,10.5,12.05,285.19998,583.7,1342.51,0.21851681,218.51682,86.058,86058.0,1.1882739,1188.2739,4.657,385.696,0.3842,15.675,0.03,1.0,0.1890625
2012.0,33.0,11.0,12.93,286.08,653.7,1503.51,0.21588178,215.88177,86.03,86030.0,1.274538,1274.5381,5.029,385.974,0.5283,16.95,0.03,1.0,0.18854167
2012.0,33.0,11.5,13.62,286.77,709.3,1631.3899,0.21335241,213.35242,85.989,85989.0,1.3456714,1345.6714,5.452,385.934,0.5495,16.95,0.02,1.0,0.18802084
2012.0,33.0,12.0,14.01,287.16,749.0,1722.7,0.20886928,208.86928,85.94,85940.0,1.3901422,1390.1422,5.377,386.163,0.4733,16.75,0.03,1.0,0.1875
2012.0,33.0,12.5,14.63,287.78,770.4,1771.92,0.2006863,200.68631,85.882,85882.0,1.4637519,1463.752,6.008,386.567,0.5233,12.35,0.03,1.0,0.18697916
2012.0,33.0,13.0,14.92,288.07,772.1,1775.83,0.18813097,188.13098,85.833,85833.0,1.5077084,1507.7084,5.785,386.661,0.4867,12.35,0.03,1.0,0.18645833
2012.0,33.0,13.5,15.3,288.44998,758.3,1744.09,0.1818574,181.8574,85.791,85791.0,1.5559103,1555.9104,6.333,386.762,0.5068,12.7,0.03,1.0,0.1859375
2012.0,33.0,14.0,15.9,289.05,726.0,1669.7999,0.17449896,174.49896,85.748,85748.0,1.6313288,1631.3289,5.628,386.832,0.4672,12.35,0.03,1.0,0.18541667
2012.0,33.0,14.5,16.23,289.38,677.4,1558.02,0.16708905,167.08905,85.708,85708.0,1.6771641,1677.1641,6.893,386.652,0.5206,12.35,0.03,1.0,0.18489583
2012.0,33.0,15.0,16.47,289.62,613.0,1409.9,0.16134873,161.34872,85.651,85651.0,1.7112933,1711.2933,7.869,386.532,0.6311,12.167,0.03,1.0,0.184375
2012.0,33.0,15.5,16.37,289.52,530.2,1219.46,0.15768863,157.68863,85.629,85629.0,1.7030759,1703.0759,8.981,386.495,0.6508,12.2,0.03,1.0,0.18385416
2012.0,33.0,16.0,16.18,289.33,435.6,1001.88,0.15611929,156.1193,85.637,85637.0,1.6822654,1682.2654,8.687,386.419,0.6579,14.25,0.03,1.0,0.18333334
2012.0,33.0,16.5,15.84,288.99,331.5,762.45,0.1571376,157.1376,85.634,85634.0,1.6417841,1641.784,8.296,386.218,0.6361,12.3,0.03,1.0,0.1828125
2012.0,33.0,17.0,15.15,288.3,220.5,507.15,0.17511636,175.11636,85.658,85658.0,1.5459967,1545.9967,8.285,386.542,0.6635,14.1,0.03,1.0,0.18229167
2012.0,33.0,17.5,13.28,286.43,113.0,259.9,0.18945412,189.45412,85.694,85694.0,1.3354256,1335.4257,8.312,386.531,0.6508,15.2,0.02,1.0,0.18177083
2012.0,33.0,18.0,11.96,285.11,21.22,48.805996,0.18570186,185.70186,85.738,85738.0,1.2127713,1212.7712,7.76,386.607,0.6233,16.2,0.02,1.0,0.18125
2012.0,33.0,18.5,10.67,283.82,0.0,0.0,0.1716519,171.6519,85.804,85804.0,1.1122861,1112.2861,5.348,386.385,0.4007,15.904,0.02,1.0,0.18072917
2012.0,33.0,19.0,9.71,282.86,0.0,0.0,0.1672989,167.2989,85.874,85874.0,1.0368447,1036.8447,3.378,386.263,0.2434,15.473,0.02,1.0,0.18020834
2012.0,33.0,19.5,8.5,281.65,0.0,0.0,0.16542885,165.42885,85.913,85913.0,0.94437754,944.37756,2.758,386.193,0.2112,14.997,0.02,1.0,0.1796875
2012.0,33.0,20.0,8.13,281.28,0.0,0.0,0.19558677,195.58678,85.922,85922.0,0.88670725,886.7073,4.952,386.171,0.3307,15.037,0.02,1.0,0.17916666
2012.0,33.0,20.5,8.01,281.16,0.0,0.0,0.23701888,237.01889,85.933,85933.0,0.83647996,836.48,5.97,386.919,0.4315,15.037,0.02,1.0,0.17864583
2012.0,33.0,21.0,7.712,280.862,0.0,0.0,0.24960366,249.60365,85.962,85962.0,0.8023291,802.3291,5.687,387.102,0.3935,14.896,0.02,1.0,0.178125
2012.0,33.0,21.5,7.209,280.359,0.0,0.0,0.25757843,257.57843,85.999,85999.0,0.75882286,758.8229,4.379,387.325,0.3239,14.655,0.01,1.0,0.17760417
2012.0,33.0,22.0,6.549,279.699,0.0,0.0,0.2603426,260.3426,86.019,86019.0,0.71103984,711.03986,3.951,387.529,0.2757,14.414,0.02,1.0,0.17708333
2012.0,33.0,22.5,5.565,278.715,0.0,0.0,0.252764,252.76399,86.027,86027.0,0.6547647,654.7647,3.369,387.515,0.1649,14.144,0.01,1.0,0.1765625
2012.0,33.0,23.0,5.204,278.354,0.0,0.0,0.25064826,250.64825,86.048,86048.0,0.6344029,634.4029,2.814,387.541,0.1931,13.986,0.02,1.0,0.17604166
2012.0,33.0,23.5,4.694,277.844,0.0,0.0,0.2521259,252.12589,86.065,86065.0,0.602007,602.00696,2.748,387.524,0.2002,13.638,0.02,1.0,0.17552084
2012.0,34.0,0.0,4.669,277.819,0.0,0.0,0.2531306,253.13062,86.078,86078.0,0.5995129,599.5129,2.489,387.33,0.1184,13.638,0.01,1.0,0.175
2012.0,34.0,0.5,4.661,277.811,0.0,0.0,0.25132784,251.32784,86.088,86088.0,0.6008377,600.8377,1.978,387.257,0.1,13.638,0.01,1.0,0.17447917
2012.0,34.0,1.0,3.863,277.013,0.0,0.0,0.2485845,248.58449,86.105,86105.0,0.557213,557.213,2.893,387.122,0.1063,13.55,0.02,1.0,0.17395833
2012.0,34.0,1.5,2.881,276.031,0.0,0.0,0.24658784,246.58784,86.127,86127.0,0.5052204,505.2204,2.444,387.128,0.1,13.433,0.01,1.0,0.1734375
2012.0,34.0,2.0,2.495,275.645,0.0,0.0,0.25007352,250.07352,86.138,86138.0,0.481403,481.40298,2.093,386.827,0.1463,13.3,0.01,1.0,0.17291667
2012.0,34.0,2.5,2.324,275.474,0.0,0.0,0.2542491,254.2491,86.129,86129.0,0.46838006,468.38007,1.652,387.248,0.2836,13.3,0.01,1.0,0.17239584
2012.0,34.0,3.0,0.535,273.685,0.0,0.0,0.2593664,259.3664,86.149,86149.0,0.37620592,376.20593,2.265,387.354,0.1,10.35,0.02,1.0,0.171875
2012.0,34.0,3.5,0.763,273.913,0.0,0.0,0.26248184,262.48184,86.15,86150.0,0.38364005,383.64005,2.967,386.651,0.1,10.419,0.02,1.0,0.17135416
2012.0,34.0,4.0,0.664,273.814,0.0,0.0,0.26428846,264.28845,86.149,86149.0,0.37723345,377.23346,1.669,387.533,0.2416,10.419,0.02,1.0,0.17083333
2012.0,34.0,4.5,-1.622,271.52798,0.0,0.0,0.26695642,266.95642,86.157,86157.0,0.27609706,276.09705,2.426,387.545,0.1,8.994,0.01,1.0,0.1703125
2012.0,34.0,5.0,-1.733,271.417,0.0,0.0,0.2714932,271.4932,86.15,86150.0,0.267141,267.14102,2.146,387.073,0.1,8.81,0.01,1.0,0.16979167
2012.0,34.0,5.5,-1.704,271.44598,0.0,0.0,0.2749071,274.9071,86.151,86151.0,0.26487896,264.87897,2.189,387.427,0.1,8.942,0.01,1.0,0.16927083
2012.0,34.0,6.0,-2.047,271.103,0.0,0.0,0.28297067,282.97067,86.165,86165.0,0.24333365,243.33365,2.285,387.402,0.1,8.761,0.02,1.0,0.16875
2012.0,34.0,6.5,-1.581,271.569,0.0,0.0,0.2841835,284.1835,86.185,86185.0,0.26051107,260.51108,2.378,387.128,0.1028,8.994,0.01,1.0,0.16822916
2012.0,34.0,7.0,-1.515,271.63498,0.0,0.0,0.2690639,269.0639,86.206,86206.0,0.27828008,278.2801,2.729,387.253,0.1,8.994,0.01,1.0,0.16770834
2012.0,34.0,7.5,-1.57,271.58,5.908,13.5884,0.25659126,256.59125,86.232,86232.0,0.28854498,288.54498,3.229,387.152,0.1,8.994,0.02,1.0,0.1671875
2012.0,34.0,8.0,-0.021,273.129,81.2,186.76,0.25848514,258.48514,86.248,86248.0,0.35199192,351.9919,2.579,387.027,0.1382,11.9,0.02,1.0,0.16666667
2012.0,34.0,8.5,2.376,275.526,177.4,408.02,0.26180044,261.80045,86.244,86244.0,0.463509,463.509,2.001,387.501,0.1484,11.7,0.02,1.0,0.16614583
2012.0,34.0,9.0,4.85,278.0,258.7,595.01,0.27651462,276.51462,86.247,86247.0,0.586973,586.973,0.983,388.23,0.1007,11.21,0.02,1.0,0.165625
2012.0,34.0,9.5,7.546,280.69598,392.3,902.29,0.2757528,275.7528,86.233,86233.0,0.7643331,764.3331,0.75,389.657,0.1139,10.65,0.02,1.0,0.16510417
2012.0,34.0,10.0,7.929,281.07898,486.9,1119.87,0.273786,273.786,86.246,86246.0,0.7938119,793.8119,1.026,389.587,0.1417,10.4,0.02,1.0,0.16458334
2012.0,34.0,10.5,8.95,282.1,582.6,1339.9799,0.26720828,267.20828,86.249,86249.0,0.876895,876.895,0.801,389.365,0.1052,10.15,0.03,1.0,0.1640625
2012.0,34.0,11.0,9.47,282.62,639.1,1469.9299,0.23874412,238.74413,86.25,86250.0,0.94614553,946.1455,0.75,389.022,0.1106,10.15,0.02,1.0,0.16354166
2012.0,34.0,11.5,10.36,283.50998,717.2,1649.5599,0.22587821,225.8782,86.235,86235.0,1.0317956,1031.7957,0.813,388.53,0.2198,9.9,0.02,1.0,0.16302083
2012.0,34.0,12.0,10.47,283.62,605.3,1392.19,0.21706708,217.06708,86.207,86207.0,1.0498713,1049.8713,0.762,388.473,0.2148,10.15,0.03,1.0,0.1625
2012.0,34.0,12.5,11.05,284.19998,720.4,1656.92,0.22012421,220.12422,86.172,86172.0,1.0966601,1096.6602,1.043,388.294,0.2975,9.9,0.03,1.0,0.16197917
2012.0,34.0,13.0,11.61,284.75998,756.5,1739.95,0.22002411,220.02411,86.124,86124.0,1.1465173,1146.5173,1.411,388.443,0.3391,9.9,0.03,1.0,0.16145833
2012.0,34.0,13.5,12.38,285.53,823.0,1892.8999,0.21507742,215.07741,86.091,86091.0,1.2225797,1222.5797,2.157,387.892,0.2219,13.98,0.03,1.0,0.1609375
2012.0,34.0,14.0,12.99,286.13998,770.9,1773.0701,0.20510244,205.10245,86.07,86070.0,1.2911766,1291.1765,2.562,388.0,0.2932,16.3,0.03,1.0,0.16041666
2012.0,34.0,14.5,13.13,286.28,671.6,1544.6799,0.19846728,198.46729,86.051,86051.0,1.311559,1311.559,3.244,387.187,0.214,16.95,0.03,1.0,0.15989584
2012.0,34.0,15.0,14.01,287.16,656.4,1509.72,0.1929767,192.9767,86.019,86019.0,1.4060348,1406.0348,3.38,387.048,0.3296,14.65,0.03,1.0,0.159375
2012.0,34.0,15.5,14.46,287.61,575.6,1323.8799,0.18717244,187.17244,86.013,86013.0,1.4590955,1459.0955,3.851,386.802,0.3815,17.65,0.03,1.0,0.15885417
2012.0,34.0,16.0,14.88,288.03,467.4,1075.02,0.18611334,186.11334,86.013,86013.0,1.5053648,1505.3647,4.018,386.894,0.4464,12.2,0.03,1.0,0.15833333
2012.0,34.0,16.5,14.37,287.52,344.4,792.12,0.18830778,188.30777,86.03,86030.0,1.448411,1448.411,4.645,386.799,0.322,12.625,0.03,1.0,0.1578125
2012.0,34.0,17.0,13.85,287.0,219.6,505.08002,0.19088432,190.88432,86.057,86057.0,1.3916157,1391.6157,5.146,386.637,0.3786,12.967,0.03,1.0,0.15729167
2012.0,34.0,17.5,12.75,285.9,63.42,145.866,0.19596672,195.96672,86.097,86097.0,1.2770022,1277.0022,4.475,386.52,0.3344,15.3,0.03,1.0,0.15677084
2012.0,34.0,18.0,11.46,284.61,11.53,26.519,0.2238494,223.8494,86.127,86127.0,1.1292055,1129.2054,3.986,386.769,0.2253,16.465,0.02,1.0,0.15625
2012.0,34.0,18.5,9.72,282.87,0.0,0.0,0.2328164,232.81639,86.159,86159.0,0.9721314,972.13135,3.193,386.796,0.158,15.71,0.02,1.0,0.15572916
2012.0,34.0,19.0,8.33,281.47998,0.0,0.0,0.23169775,231.69775,86.185,86185.0,0.8653923,865.39233,2.7,386.72,0.1885,15.185,0.02,1.0,0.15520833
2012.0,34.0,19.5,7.555,280.705,0.0,0.0,0.2318521,231.8521,86.213,86213.0,0.80887467,808.8747,2.417,386.841,0.1208,15.016,0.02,1.0,0.1546875
2012.0,34.0,20.0,7.146,280.296,0.0,0.0,0.22971214,229.71214,86.247,86247.0,0.78231144,782.31146,2.214,386.601,0.1,14.696,0.02,1.0,0.15416667
2012.0,34.0,20.5,7.343,280.49298,0.0,0.0,0.22520955,225.20955,86.256,86256.0,0.8005517,800.5517,1.346,386.99,0.2211,14.861,0.02,1.0,0.15364583
2012.0,34.0,21.0,5.847,278.997,0.0,0.0,0.22738908,227.38908,86.273,86273.0,0.6980496,698.0496,2.094,387.207,0.11,14.247,0.02,1.0,0.153125
2012.0,34.0,21.5,5.056,278.206,0.0,0.0,0.22971672,229.71672,86.286,86286.0,0.6462637,646.26373,2.022,386.62,0.1,14.0,0.02,1.0,0.15260416
2012.0,34.0,22.0,4.524,277.67398,0.0,0.0,0.2327521,232.7521,86.298,86298.0,0.6112881,611.2881,2.434,386.435,0.1,13.671,0.01,1.0,0.15208334
2012.0,34.0,22.5,4.005,277.155,0.0,0.0,0.23489,234.89,86.302,86302.0,0.5789921,578.9921,2.193,386.341,0.1,13.55,0.01,1.0,0.1515625
2012.0,34.0,23.0,3.43,276.58,0.0,0.0,0.23608012,236.08012,86.305,86305.0,0.5455023,545.5023,1.768,386.373,0.1177,13.433,0.02,1.0,0.15104167
2012.0,34.0,23.5,4.092,277.242,0.0,0.0,0.24212824,242.12823,86.307,86307.0,0.5767429,576.74286,1.37,386.945,0.1,13.55,0.01,1.0,0.15052083
2012.0,35.0,0.0,3.729,276.879,0.0,0.0,0.24527356,245.27356,86.309,86309.0,0.55296105,552.96106,2.059,386.988,0.1,13.55,0.01,1.0,0.15
2012.0,35.0,0.5,3.393,276.543,0.0,0.0,0.2481768,248.1768,86.31,86310.0,0.531366,531.36597,1.951,386.861,0.1,13.433,0.02,1.0,0.14947917
2012.0,35.0,1.0,2.786,275.936,0.0,0.0,0.25121897,251.21898,86.314,86314.0,0.4955401,495.5401,2.104,386.962,0.1,13.3,0.01,1.0,0.14895834
2012.0,35.0,1.5,2.66,275.81,0.0,0.0,0.26473418,264.7342,86.317,86317.0,0.47537318,475.37317,2.02,386.782,0.1,13.3,0.01,1.0,0.1484375
2012.0,35.0,2.0,3.288,276.438,0.0,0.0,0.27373743,273.73743,86.306,86306.0,0.50004584,500.04584,2.005,386.751,0.1,13.433,0.01,1.0,0.14791666
2012.0,35.0,2.5,3.388,276.538,0.0,0.0,0.27893886,278.93887,86.299,86299.0,0.5003289,500.3289,2.335,386.974,0.1,13.433,0.01,1.0,0.14739583
2012.0,35.0,3.0,3.657,276.807,0.0,0.0,0.28252298,282.52298,86.291,86291.0,0.51167357,511.67355,2.315,386.945,0.1,13.55,0.01,1.0,0.146875
